author,text,title
Christopher Marlowe,"It lies not in our power to love or hate,<br/>For will in us is overruled by fate.<br/>When two are stripped, long ere the course begin,<br/>We wish that one should love, the other win;<br/><br/>And one especially do we affect<br/>Of two gold ingots, like in each respect:<br/>The reason no man knows; let it suffice<br/>What we behold is censured by our eyes.<br/>Where both deliberate, the love is slight:<br/>Who ever loved, that loved not at first sight? 
            <br/>",Who Ever Loved That Loved Not At First Sight?
Thomas Hardy,"I said to Love, <br/>""It is not now as in old days <br/>When men adored thee and thy ways <br/>   All else above; <br/>Named thee the Boy, the Bright, the One <br/>Who spread a heaven beneath the sun,"" <br/>   I said to Love. <br/><br/>   I said to him, <br/>""We now know more of thee than then; <br/>We were but weak in judgment when, <br/>   With hearts abrim, <br/>We clamoured thee that thou would'st please <br/>Inflict on us thine agonies,"" <br/>   I said to him. <br/><br/>   I said to Love, <br/>""Thou art not young, thou art not fair, <br/>No faery darts, no cherub air, <br/>   Nor swan, nor dove <br/>Are thine; but features pitiless, <br/>And iron daggers of distress,"" <br/>   I said to Love. <br/><br/>   ""Depart then, Love! . . . <br/>- Man's race shall end, dost threaten thou? <br/>The age to come the man of now <br/>   Know nothing of? - <br/>We fear not such a threat from thee; <br/>We are too old in apathy! <br/>Mankind shall cease.--So let it be,"" <br/>   I said to Love. 
            <br/>","""I Said To Love"""
Patrick Kavanagh,"On Raglan Road on an autumn day I met her first and knew <br/>That her dark hair would weave a snare that I might one day rue; <br/>I saw the danger, yet I walked along the enchanted way, <br/>And I said, let grief be a fallen leaf at the dawning of the day. <br/><br/>On Grafton Street in November we tripped lightly along the ledge <br/>Of the deep ravine where can be seen the worth of passion's pledge, <br/>The Queen of Hearts still making tarts and I not making hay - <br/>O I loved too much and by such and such is happiness thrown away. <br/><br/>I gave her gifts of the mind I gave her the secret sign that's known <br/>To the artists who have known the true gods of sound and stone <br/>And word and tint. I did not stint for I gave her poems to say. <br/>With her own name there and her own dark hair like clouds over fields of May <br/><br/>On a quiet street where old ghosts meet I see her walking now <br/>Away from me so hurriedly my reason must allow <br/>That I had wooed not as I should a creature made of clay - <br/>When the angel woos the clay he'd lose his wings at the dawn of day. 
            <br/>",On Raglan Road
Oscar Wilde,"THE wild bee reels from bough to bough<br/>        With his furry coat and his gauzy wing.<br/>       Now in a lily-cup, and now<br/>        Setting a jacinth bell a-swing,<br/>            In his wandering;<br/>       Sit closer love: it was here I trow<br/>            I made that vow,<br/><br/>       Swore that two lives should be like one<br/>        As long as the sea-gull loved the sea,<br/>       As long as the sunflower sought the sun,--<br/>        It shall be, I said, for eternity<br/>            'Twixt you and me!<br/>       Dear friend, those times are over and done,<br/>            Love's web is spun.<br/><br/>       Look upward where the poplar trees<br/>        Sway and sway in the summer air,<br/>       Here in the valley never a breeze<br/>        Scatters the thistledown, but there<br/>            Great winds blow fair<br/>       From the mighty murmuring mystical seas,<br/>            And the wave-lashed leas.<br/><br/>       Look upward where the white gull screams,<br/>        What does it see that we do not see?<br/>       Is that a star? or the lamp that gleams<br/>        On some outward voyaging argosy,--<br/>            Ah! can it be<br/>       We have lived our lives in a land of dreams!<br/>            How sad it seems.<br/><br/>       Sweet, there is nothing left to say<br/>        But this, that love is never lost,<br/>       Keen winter stabs the breasts of May<br/>        Whose crimson roses burst his frost,<br/>            Ships tempest-tossed<br/>       Will find a harbour in some bay,<br/>            And so we may.<br/><br/>       And there is nothing left to do<br/>        But to kiss once again, and part,<br/>       Nay, there is nothing we should rue,<br/>        I have my beauty,--you your Art,<br/>            Nay, do not start,<br/>       One world was not enough for two<br/>            Like me and you. 
            <br/>",Her Voice
Gwendolyn Brooks,"To be in love <br/>Is to touch with a lighter hand. <br/>In yourself you stretch, you are well. <br/>You look at things <br/>Through his eyes. <br/>A cardinal is red. <br/>A sky is blue. <br/>Suddenly you know he knows too. <br/>He is not there but <br/>You know you are tasting together <br/>The winter, or a light spring weather. <br/>His hand to take your hand is overmuch. <br/>Too much to bear. <br/>You cannot look in his eyes <br/>Because your pulse must not say <br/>What must not be said. <br/>When he <br/>Shuts a door- <br/>Is not there_ <br/>Your arms are water. <br/>And you are free <br/>With a ghastly freedom. <br/>You are the beautiful half <br/>Of a golden hurt. <br/>You remember and covet his mouth <br/>To touch, to whisper on. <br/>Oh when to declare <br/>Is certain Death! <br/>Oh when to apprize <br/>Is to mesmerize, <br/>To see fall down, the Column of Gold, <br/>Into the commonest ash.<br/><br/><br/>Anonymous submission. 
            <br/>",To Be In Love
Rabindranath Tagore,"Mother, the folk who live up in the clouds call out to me-<br/>  ""We play from the time we wake till the day ends.<br/>  We play with the golden dawn, we play with the silver moon.""<br/>  I ask, ""But how am I to get up to you ?""<br/>  They answer, ""Come to the edge of the earth, lift up your<br/>hands to the sky, and you will be taken up into the clouds.""<br/>  ""My mother is waiting for me at home, ""I say, ""How can I leave<br/>her and come?""<br/>  Then they smile and float away.<br/>  But I know a nicer game than that, mother.<br/>  I shall be the cloud and you the moon.<br/>  I shall cover you with both my hands, and our house-top will<br/>be the blue sky.<br/>  The folk who live in the waves call out to me-<br/>  ""We sing from morning till night; on and on we travel and know<br/>not where we pass.""<br/>  I ask, ""But how am I to join you?""<br/>  They tell me, ""Come to the edge of the shore and stand with<br/>your eyes tight shut, and you will be carried out upon the waves.""<br/>  I say, ""My mother always wants me at home in the everything-<br/>how can I leave her and go?""<br/>  They smile, dance and pass by.<br/>  But I know a better game than that.<br/>  I will be the waves and you will be a strange shore.<br/>  I shall roll on and on and on, and break upon your lap with<br/>laughter.<br/>  And no one in the world will know where we both are. 
            <br/>",Clouds And Waves
Robert William Service,"If starry space no limit knows<br/>   And sun succeeds to sun,<br/>There is no reason to suppose<br/>   Our earth the only one.<br/>'Mid countless constellations cast<br/>   A million worlds may be,<br/>With each a God to bless or blast<br/>   And steer to destiny.<br/> <br/>Just think! A million gods or so<br/>   To guide each vital stream,<br/>With over all to boss the show<br/>   A Deity supreme.<br/>Such magnitudes oppress my mind;<br/>   From cosmic space it swings;<br/>So ultimately glad to find<br/>   Relief in little things.<br/><br/>For look! Within my hollow hand,<br/>   While round the earth careens,<br/>I hold a single grain of sand<br/>   And wonder what it means.<br/>Ah! If I had the eyes to see,<br/>   And brain to understand,<br/>I think Life's mystery might be<br/>   Solved in this grain of sand. 
            <br/>",A Grain Of Sand
Elizabeth Barrett Browning,"XIV<br/><br/>If thou must love me, let it be for nought<br/>Except for love's sake only. Do not say<br/>'I love her for her smile—her look—her way<br/>Of speaking gently,—for a trick of thought<br/>That falls in well with mine, and certes brought<br/>A sense of pleasant ease on such a day'—<br/>For these things in themselves, Beloved, may<br/>Be changed, or change for thee,—and love, so wrought,<br/>May be unwrought so. Neither love me for<br/>Thine own dear pity's wiping my cheeks dry,—<br/>A creature might forget to weep, who bore<br/>Thy comfort long, and lose thy love thereby!<br/>But love me for love's sake, that evermore<br/>Thou mayst love on, through love's eternity. 
            <br/>","Sonnet 14 - If Thou Must Love Me, Let It Be For Nought"
Robert Browning,"FERRARA.<br/><br/>That's my last Duchess painted on the wall,<br/>Looking as if she were alive. I call<br/>That piece a wonder, now: Fr Pandolf's hands<br/>Worked busily a day, and there she stands.<br/>Will't please you sit and look at her? I said<br/>``Fr Pandolf'' by design, for never read<br/>Strangers like you that pictured countenance,<br/>The depth and passion of its earnest glance,<br/>But to myself they turned (since none puts by<br/>The curtain I have drawn for you, but I)<br/>And seemed as they would ask me, if they durst,<br/>How such a glance came there; so, not the first<br/>Are you to turn and ask thus. Sir, 'twas not<br/>Her husband's presence only, called that spot<br/>Of joy into the Duchess' cheek: perhaps<br/>Fr Pandolf chanced to say ``Her mantle laps<br/>``Over my lady's wrist too much,'' or ``Paint<br/>``Must never hope to reproduce the faint<br/>``Half-flush that dies along her throat:'' such stuff<br/>Was courtesy, she thought, and cause enough<br/>For calling up that spot of joy. She had<br/>A heart---how shall I say?---too soon made glad,<br/>Too easily impressed; she liked whate'er<br/>She looked on, and her looks went everywhere. <br/>Sir, 'twas all one! My favour at her breast,<br/>The dropping of the daylight in the West,<br/>The bough of cherries some officious fool<br/>Broke in the orchard for her, the white mule<br/>She rode with round the terrace---all and each<br/>Would draw from her alike the approving speech,<br/>Or blush, at least. She thanked men,---good! but thanked<br/>Somehow---I know not how---as if she ranked<br/>My gift of a nine-hundred-years-old name<br/>With anybody's gift. Who'd stoop to blame<br/>This sort of trifling? Even had you skill<br/>In speech---(which I have not)---to make your will<br/>Quite clear to such an one, and say, ``Just this<br/>``Or that in you disgusts me; here you miss,<br/>``Or there exceed the mark''---and if she let<br/>Herself be lessoned so, nor plainly set<br/>Her wits to yours, forsooth, and made excuse,<br/>---E'en then would be some stooping; and I choose<br/>Never to stoop. Oh sir, she smiled, no doubt,<br/>Whene'er I passed her; but who passed without<br/>Much the same smile? This grew; I gave commands;<br/>Then all smiles stopped together. There she stands<br/>As if alive. Will't please you rise? We'll meet<br/>The company below, then. I repeat,<br/>The Count your master's known munificence<br/>Is ample warrant that no just pretence<br/>Of mine for dowry will be disallowed;<br/>Though his fair daughter's self, as I avowed<br/>At starting, is my object. Nay, we'll go<br/>Together down, sir. Notice Neptune, though,<br/>Taming a sea-horse, thought a rarity,<br/>Which Claus of Innsbruck cast in bronze for me! 
            <br/>",My Last Duchess
Carl Sandburg,"The fog comes<br/>on little cat feet.<br/><br/>It sits looking<br/>over harbor and city<br/>on silent haunches<br/>and then moves on. 
            <br/>",Fog
Edwin Arlington Robinson,"When these graven lines you see, <br/>Traveller, do not pity me; <br/>Though I be among the dead, <br/>Let no mournful word be said.<br/><br/>Children that I leave behind, <br/>And their children, all were kind; <br/>Near to them and to my wife, <br/>I was happy all my life.<br/><br/>My three sons I married right, <br/>And their sons I rocked at night; <br/>Death nor sorrow never brought <br/>Cause for one unhappy thought.<br/><br/>Now, and with no need of tears, <br/>Here they leave me, full of years,-- <br/>Leave me to my quiet rest <br/>In the region of the blest. 
            <br/>",A Happy Man
Lucille Clifton,"these hips are big hips.<br/>they need space to <br/>move around in.<br/>they don't fit into little<br/>petty places. these hips<br/>are free hips.<br/>they don't like to be held back.<br/>these hips have never been enslaved,<br/>they go where they want to go <br/>they do what they want to do. <br/>these hips are mighty hips.<br/>these hips are magic hips.<br/>i have known them<br/>to put a spell on a man and <br/>spin him like a top 
            <br/>",Homage To My Hips
William Carlos Williams,"Let the snake wait under<br/>his weed<br/>and the writing<br/>be of words, slow and quick, sharp<br/>to strike, quiet to wait,<br/>sleepless.<br/>-- through metaphor to reconcile<br/>the people and the stones.<br/>Compose. (No ideas<br/>but in things) Invent!<br/>Saxifrage is my flower that splits<br/>the rocks. 
            <br/>",A Sort Of A Song
Marieta Maglas,"This game is the way in which slaughter becomes an end in itself.<br/> <br/>Acta est fabula plaudite<br/>The play has been performed; applaud! <br/><br/>Surely, less obvious ways exist<br/>The Darkness seeks to manipulate us into its service.<br/><br/><br/>Actus non facit reum nisi mens sit rea.<br/>The act is not guilty unless the mind is also guilty.<br/><br/><br/>Once all of them have won a very special princess prize, <br/>the game is over....<br/>and they will never buy another one.....<br/><br/>Alis grave nil.<br/>Nothing is heavy to those who have wings<br/><br/>And maybe we cannot understand what's going on, <br/>but we can understand that the players<br/>skillfully hide behind the walls....<br/>They think....<br/><br/>Cessante ratione legis cessat ipsa lex.<br/>When the reason for the law ceases, the law itself ceases.<br/><br/><br/>We seek escape from reality, we undermine our self-esteem.<br/>Maybe we are unable to see them, but we need to talk about this.<br/>And maybe they do not trust us when we tell them to come to us if they need<br/>to talk....<br/>....about those who become their victims......<br/><br/><br/>Sed ipse Spiritus postulat pro nobis, gemitibus inenarrabilibus.<br/>But the same Spirit intercedes incessantly for us, with inexpressible groans. 
            <br/>",Latina Time
Allen Ginsberg,"What thoughts I have of you tonight, Walt Whitman, for I walked down the<br/>streets under the trees with a headache self-conscious looking at the full moon.<br/><br/>In my hungry fatigue, and shopping for images, I went into the neon fruit<br/>supermarket, dreaming of your enumerations!<br/>What peaches and what penumbras! Whole families shopping at night! Aisles<br/>full of husbands! Wives in the avocados, babies in the tomatoes! --- and you,<br/>Garcia Lorca, what were you doing down by the watermelons?<br/>I saw you, Walt Whitman, childless, lonely old grubber, poking among the<br/>meats in the refrigerator and eyeing the grocery boys.<br/>I heard you asking questions of each: Who killed the pork chops? What price<br/>bananas? Are you my Angel?<br/>I wandered in and out of the brilliant stacks of cans following you, and<br/>followed in my imagination by the store detective.<br/>We strode down the open corridors together in our solitary fancy tasting<br/>artichokes, possessing every frozen delicacy, and never passing the cashier.<br/>Where are we going, Walt Whitman? The doors close in an hour. Which way does<br/>your beard point tonight?<br/>(I touch your book and dream of our odyssey in the supermarket and feel<br/>absurd.)<br/>Will we walk all night through solitary streets? The trees add shade to<br/>shade, lights out in the houses, we'll both be lonely.<br/>Will we stroll dreaming of the lost America of love past blue automobiles in<br/>driveways, home to our silent cottage?<br/>Ah, dear father, graybeard, lonely old courage-teacher, what America did you<br/>have when Charon quit poling his ferry and you got out on a smoking bank and<br/>stood watching the boat disappear on the black waters of Lethe? 
            <br/>",A Supermarket In California
John Masefield,"<font color=""red""><b><br/>The text of this poem could not be published because of Copyright laws.<br/></b></font>
<br/>",Sea Fever
Henry Wadsworth Longfellow,"I shot an arrow into the air,<br/>It fell to earth, I knew not where; <br/>For, so swiftly it flew, the sight<br/>Could not follow it in its flight.<br/><br/>I breathed a song into the air,<br/>It fell to earth, I knew not where; <br/>For who has sight so keen and strong,<br/>That it can follow the flight of song? <br/><br/>Long, long afterward, in an oak<br/>I found the arrow, still unbroke; <br/>And the song, from beginning to end,<br/>I found again in the heart of a friend. 
            <br/>",The Arrow And The Song
Rainer Maria Rilke,"My eyes already touch the sunny hill.<br/>going far ahead of the road I have begun.<br/>So we are grasped by what we cannot grasp;<br/>it has inner light, even from a distance-<br/><br/>and charges us, even if we do not reach it,<br/>into something else, which, hardly sensing it,<br/>we already are; a gesture waves us on<br/>answering our own wave...<br/>but what we feel is the wind in our faces.<br/><br/><br/>Translated by Robert Bly 
            <br/>",A Walk
Hilaire Belloc,"Do you remember an Inn,<br/>Miranda?<br/>Do you remember an Inn?<br/>And the tedding and the spreading<br/>Of the straw for a bedding,<br/>And the fleas that tease in the High Pyrenees,<br/>And the wine that tasted of tar?<br/>And the cheers and the jeers of the young muleteers<br/>(Under the vine of the dark veranda)?<br/>Do you remember an Inn, Miranda,<br/>Do you remember an Inn?<br/>And the cheers and the jeers of the young muleteers<br/>Who hadn't got a penny,<br/>And who weren't paying any,<br/>And the hammer at the doors and the din?<br/>And the hip! hop! hap!<br/>Of the clap<br/>Of the hands to the swirl and the twirl<br/>Of the girl gone chancing,<br/>Glancing,<br/>Dancing,<br/>Backing and advancing,<br/>Snapping of the clapper to the spin<br/>Out and in--<br/>And the ting, tong, tang of the guitar!<br/>Do you remember an Inn,<br/>Miranda?<br/>Do you remember an Inn?<br/><br/>Never more;<br/>Miranda,<br/>Never more.<br/>Only the high peaks hoar;<br/>And Aragon a torrent at the door.<br/>No sound<br/>In the walls of the halls where falls<br/>The tread<br/>Of the feet of the dead to the ground,<br/>No sound:<br/>But the boom<br/>Of the far waterfall like doom. 
            <br/>",Tarantella
Elizabeth Barrett Browning,"XLIII<br/><br/>How do I love thee? Let me count the ways.<br/>I love thee to the depth and breadth and height<br/>My soul can reach, when feeling out of sight<br/>For the ends of Being and ideal Grace.<br/>I love thee to the level of everyday's<br/>Most quiet need, by sun and candle-light.<br/>I love thee freely, as men strive for Right;<br/>I love thee purely, as they turn from Praise.<br/>I love thee with the passion put to use<br/>In my old griefs, and with my childhood's faith.<br/>I love thee with a love I seemed to lose<br/>With my lost saints,—I love thee with the breath,<br/>Smiles, tears, of all my life!—and, if God choose,<br/>I shall but love thee better after death. 
            <br/>",Sonnet 43 - How Do I Love Thee? Let Me Count The Ways
Alice Walker,"Expect nothing. Live frugally<br/>On surprise.<br/>become a stranger<br/>To need of pity<br/>Or, if compassion be freely<br/>Given out<br/>Take only enough<br/>Stop short of urge to plead<br/>Then purge away the need.<br/><br/>Wish for nothing larger<br/>Than your own small heart<br/>Or greater than a star; <br/>Tame wild disappointment<br/>With caress unmoved and cold<br/>Make of it a parka<br/>For your soul.<br/><br/>Discover the reason why<br/>So tiny human midget<br/>Exists at all<br/>So scared unwise<br/>But expect nothing. Live frugally<br/>On surprise. 
            <br/>",Expect Nothing
Nikki Giovanni,"I always like summer<br/> Best<br/> you can eat fresh corn<br/> From daddy's garden<br/> And okra<br/> And greens<br/> And cabbage<br/> And lots of<br/> Barbeque<br/> And buttermilk<br/> And homemade ice-cream<br/> At the church picnic<br/> And listen to<br/> Gospel music<br/> Outside<br/> At the church<br/> Homecoming<br/> And go to the mountains with<br/> Your grandmother<br/> And go barefooted<br/> And be warm<br/> All the time<br/> Not only when you go to bed<br/> And sleep 
            <br/>",Knoxville Tennessee
Dorothy Parker,"A dream lies dead here. May you softly go <br/>Before this place, and turn away your eyes, <br/>Nor seek to know the look of that which dies <br/>Importuning Life for life. Walk not in woe, <br/>But, for a little, let your step be slow. <br/>And, of your mercy, be not sweetly wise <br/>With words of hope and Spring and tenderer skies. <br/>A dream lies dead; and this all mourners know: <br/><br/>Whenever one drifted petal leaves the tree- <br/>Though white of bloom as it had been before <br/>And proudly waitful of fecundity- <br/>One little loveliness can be no more; <br/>And so must Beauty bow her imperfect head <br/>Because a dream has joined the wistful dead! 
            <br/>",A Dream Lies Dead
Robert Louis Stevenson,"LOVE - what is love? A great and aching heart;<br/>Wrung hands; and silence; and a long despair.<br/>Life - what is life? Upon a moorland bare<br/>To see love coming and see love depart. 
            <br/>","Love, What Is Love"
Rabindranath Tagore,"I ask for a moment's indulgence to sit by thy side. The works <br/>that I have in hand I will finish afterwards. <br/><br/>Away from the sight of thy face my heart knows no rest nor respite, <br/>and my work becomes an endless toil in a shoreless sea of toil. <br/><br/>Today the summer has come at my window with its sighs and murmurs; and <br/>the bees are plying their minstrelsy at the court of the flowering grove. <br/><br/>Now it is time to sit quite, face to face with thee, and to sing <br/>dedication of life in this silent and overflowing leisure. 
            <br/>",A Moments Indulgence
Robert William Service,"Three times I had the lust to kill,<br/>To clutch a throat so young and fair,<br/>And squeeze with all my might until<br/>No breath of being lingered there.<br/>Three times I drove the demon out,<br/>Though on my brow was evil sweat. . . .<br/>And yet I know beyond a doubt<br/>He'll get me yet, he'll get me yet.<br/><br/>I know I'm mad, I ought to tell<br/>The doctors, let them care for me,<br/>Confine me in a padded cell<br/>And never, never set me free;<br/>But Oh how cruel that would be!<br/>For I am young - and comely too . . .<br/>Yet dim my demon I can see,<br/>And there is but one thing to do.<br/><br/>Three times I beat the foul fiend back;<br/>The fourth, I know he will prevail,<br/>And so I'll seek the railway track<br/>And lay my head upon the rail,<br/>And sight the dark and distant train,<br/>And hear its thunder louder roll,<br/>Coming to crush my cursed brain . . .<br/>Oh God, have mercy on my soul! 
            <br/>",A Hero
Robert Louis Stevenson,"How do you like to go up in a swing, <br/>Up in the air so blue? <br/>Oh, I do think it the pleasantest thing <br/>Ever a child can do! <br/><br/>Up in the air and over the wall, <br/>Till I can see so wide, <br/>River and trees and cattle and all <br/>Over the countryside-- <br/><br/>Till I look down on the garden green, <br/>Down on the roof so brown-- <br/>Up in the air I go flying again, <br/>Up in the air and down! 
            <br/>",The Swing
John Donne,"PERCHANCE he for whom this bell tolls may be so ill, as that he <br/>   knows not it tolls for him; and perchance I may think myself so <br/>   much better than I am, as that they who are about me, and see my <br/>   state, may have caused it to toll for me, and I know not that. The <br/>   church is Catholic, universal, so are all her actions; all that she <br/>   does belongs to all. When she baptizes a child, that action <br/>   concerns me; for that child is thereby connected to that body which <br/>   is my head too, and ingrafted into that body whereof I am a member. <br/>   And when she buries a man, that action concerns me: all mankind is <br/>   of one author, and is one volume; when one man dies, one chapter is <br/>   not torn out of the book, but translated into a better language; <br/>   and every chapter must be so translated; God employs several <br/>   translators; some pieces are translated by age, some by sickness, <br/>   some by war, some by justice; but God's hand is in every <br/>   translation, and his hand shall bind up all our scattered leaves <br/>   again for that library where every book shall lie open to one <br/>   another. As therefore the bell that rings to a sermon calls not <br/>   upon the preacher only, but upon the congregation to come, so this <br/>   bell calls us all; but how much more me, who am brought so near the <br/>   door by this sickness. There was a contention as far as a suit (in <br/>   which both piety and dignity, religion and estimation, were <br/>   mingled), which of the religious orders should ring to prayers <br/>   first in the morning; and it was determined, that they should ring <br/>   first that rose earliest. If we understand aright the dignity of <br/>   this bell that tolls for our evening prayer, we would be glad to <br/>   make it ours by rising early, in that application, that it might be <br/>   ours as well as his, whose indeed it is. The bell doth toll for him <br/>   that thinks it doth; and though it intermit again, yet from that <br/>   minute that this occasion wrought upon him, he is united to God. <br/>   Who casts not up his eye to the sun when it rises? but who takes <br/>   off his eye from a comet when that breaks out? Who bends not his <br/>   ear to any bell which upon any occasion rings? but who can remove <br/>   it from that bell which is passing a piece of himself out of this <br/>   world? No man is an island, entire of itself; every man is a piece <br/>   of the continent, a part of the main. If a clod be washed away by <br/>   the sea, Europe is the less, as well as if a promontory were, as <br/>   well as if a manor of thy friend's or of thine own were: any man's <br/>   death diminishes me, because I am involved in mankind, and <br/>   therefore never send to know for whom the bell tolls; it tolls for <br/>   thee. Neither can we call this a begging of misery, or a borrowing <br/>   of misery, as though we were not miserable enough of ourselves, but <br/>   must fetch in more from the next house, in taking upon us the <br/>   misery of our neighbours. Truly it were an excusable covetousness <br/>   if we did, for affliction is a treasure, and scarce any man hath <br/>   enough of it. No man hath affliction enough that is not matured and <br/>   ripened by it, and made fit for God by that affliction. If a man <br/>   carry treasure in bullion, or in a wedge of gold, and have none <br/>   coined into current money, his treasure will not defray him as he <br/>   travels. Tribulation is treasure in the nature of it, but it is not <br/>   current money in the use of it, except we get nearer and nearer our <br/>   home, heaven, by it. Another man may be sick too, and sick to <br/>   death, and this affliction may lie in his bowels, as gold in a <br/>   mine, and be of no use to him; but this bell, that tells me of his <br/>   affliction, digs out and applies that gold to me: if by this <br/>   consideration of another's danger I take mine own into <br/>   contemplation, and so secure myself, by making my recourse to my <br/>   God, who is our only security. 
            <br/>",For Whom The Bell Tolls
Louis Macneice,"I am not yet born; O hear me.<br/>Let not the bloodsucking bat or the rat or the stoat or the<br/>   club-footed ghoul come near me.<br/><br/>I am not yet born, console me.<br/>I fear that the human race may with tall walls wall me,<br/>   with strong drugs dope me, with wise lies lure me,<br/>    on black racks rack me, in blood-baths roll me.<br/><br/>I am not yet born; provide me<br/>With water to dandle me, grass to grow for me, trees to talk<br/>   to me, sky to sing to me, birds and a white light<br/>    in the back of my mind to guide me.<br/><br/>I am not yet born; forgive me<br/>For the sins that in me the world shall commit, my words<br/>   when they speak me, my thoughts when they think me,<br/>    my treason engendered by traitors beyond me,<br/>      my life when they murder by means of my<br/>       hands, my death when they live me.<br/><br/>I am not yet born; rehearse me<br/>In the parts I must play and the cues I must take when<br/>   old men lecture me, bureaucrats hector me, mountains<br/>    frown at me, lovers laugh at me, the white<br/>      waves call me to folly and the desert calls<br/>       me to doom and the beggar refuses<br/>         my gift and my children curse me.<br/><br/>I am not yet born; O hear me,<br/>Let not the man who is beast or who thinks he is God<br/>   come near me.<br/><br/>I am not yet born; O fill me<br/>With strength against those who would freeze my<br/>   humanity, would dragoon me into a lethal automaton,<br/>    would make me a cog in a machine, a thing with<br/>      one face, a thing, and against all those<br/>       who would dissipate my entirety, would<br/>         blow me like thistledown hither and<br/>          thither or hither and thither<br/>            like water held in the<br/>             hands would spill me.<br/><br/>Let them not make me a stone and let them not spill me.<br/>Otherwise kill me. 
            <br/>",Prayer Before Birth
Lewis Carroll,"He thought he saw an Elephant<br/>That practised on a fife:<br/>He looked again, and found it was<br/>A letter from his wife.<br/>'At length I realize,' he said,<br/>'The bitterness of life! '<br/><br/>He thought he saw a Buffalo<br/>Upon the chimney-piece:<br/>He looked again, and found it was<br/>His Sister's Husband's Niece.<br/>'Unless you leave this house,' he said,<br/>'I'll send for the police! '<br/><br/>he thought he saw a Rattlesnake<br/>That questioned him in Greek:<br/>He looked again, and found it was<br/>The Middle of Next Week.<br/>'The one thing I regret,' he said,<br/>'Is that it cannot speak! '<br/><br/>He thought he saw a Banker's Clerk<br/>Descending from the bus:<br/>He looked again, and found it was<br/>A Hippopotamus.<br/>'If this should stay to dine,' he said,<br/>'There won't be much for us! '<br/><br/>He thought he saw a Kangaroo<br/>That worked a Coffee-mill:<br/>He looked again, and found it was<br/>A Vegetable-Pill.<br/>'Were I to swallow this,' he said,<br/>'I should be very ill! '<br/><br/>He thought he saw a Coach-and-Four<br/>That stood beside his bed:<br/>He looked again, and found it was<br/>A Bear without a Head.<br/>'Poor thing,' he said, 'poor silly thing! <br/>It's waiting to be fed! '<br/><br/>He thought he saw an Albatross<br/>That fluttered round the lamp:<br/>He looked again, and found it was<br/>A Penny-Postag e Stamp.<br/>'You'd best be getting home,' he said:<br/>'The nights are very damp! '<br/><br/>He thought he saw a Garden-Door<br/>That opened with a key:<br/>He looked again, and found it was<br/>A Double Rule of Three:<br/>'And all its mystery,' he said,<br/>'Is clear as day to me! '<br/><br/>He thought he saw a Argument<br/>That proved he was the Pope:<br/>He looked again, and found it was<br/>A Bar of Mottled Soap.<br/>'A fact so dread,' he faintly said,<br/>'Extinguishe s all hope! ' 
            <br/>",A Strange Wild Song
Alfred Lord Tennyson,"HALF a league, half a league, <br/>   Half a league onward, <br/>All in the valley of Death <br/>   Rode the six hundred. <br/>'Forward, the Light Brigade! <br/>Charge for the guns! ' he said: <br/>Into the valley of Death <br/>   Rode the six hundred. <br/><br/>'Forward, the Light Brigade! ' <br/>Was there a man dismay'd? <br/>Not tho' the soldier knew <br/>   Some one had blunder'd: <br/>Their's not to make reply, <br/>Their's not to reason why, <br/>Their's but to do and die: <br/>Into the valley of Death <br/>   Rode the six hundred. <br/><br/>Cannon to right of them, <br/>Cannon to left of them, <br/>Cannon in front of them <br/>   Volley'd and thunder'd; <br/>Storm'd at with shot and shell, <br/>Boldly they rode and well, <br/>Into the jaws of Death, <br/>Into the mouth of Hell <br/>   Rode the six hundred. <br/><br/>Flash'd all their sabres bare, <br/>Flash'd as they turn'd in air <br/>Sabring the gunners there, <br/>Charging an army, while <br/>   All the world wonder'd: <br/>Plunged in the battery-smoke <br/>Right thro' the line they broke; <br/>Cossack and Russian <br/>Reel'd from the sabre-stroke <br/>   Shatter'd and sunder'd. <br/>Then they rode back, but not <br/>   Not the six hundred. <br/><br/>Cannon to right of them, <br/>Cannon to left of them, <br/>Cannon behind them <br/>   Volley'd and thunder'd; <br/>Storm'd at with shot and shell, <br/>While horse and hero fell, <br/>They that had fought so well <br/>Came thro' the jaws of Death, <br/>Back from the mouth of Hell, <br/>All that was left of them, <br/>   Left of six hundred. <br/><br/>When can their glory fade? <br/>O the wild charge they made! <br/>   All the world wonder'd. <br/>Honour the charge they made! <br/>Honour the Light Brigade, <br/>   Noble six hundred! <br/>. 
            <br/>",Charge Of The Light Brigade
Ezra Pound,"The tree has entered my hands,<br/>The sap has ascended my arms,<br/>The tree has grown in my breast -<br/>Downward,<br/>The branches grow out of me, like arms.<br/><br/>Tree you are,<br/>Moss you are,<br/>You are violets with wind above them.<br/>A child - so high - you are,<br/>And all this is folly to the world. 
            <br/>",A Girl
